episode_id,scenario_type,configuration,planner_seed,recovery_days,recovered,total_cost,service_cov,mean_service,air_expedites,air_expedite_noops,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
17,compound,planner_daily_h14,mean,33.2,1.0,1572013.620513734,0.54189292077734,0.9287399971806737,25.6,2.6,19.6,0.0,25.6,74.8,0.0,0.0
17,compound,planner_daily_no_expedite,mean,91.8,1.0,560875.5775854037,0.4552876027899124,0.8501124968671137,0.0,0.0,68.6,0.0,0.0,50.8,0.0,0.6
17,compound,planner_daily_expedite_7d,mean,95.0,1.0,689416.5116019585,0.45473867492764575,0.8419796779086365,4.0,0.0,66.8,0.0,4.0,48.6,0.0,0.6
17,compound,planner_daily_h28,mean,31.0,1.0,1240690.9065263374,0.39373679090550046,0.9599077812143382,39.0,15.0,81.0,0.0,39.0,0.0,0.0,0.0
17,compound,planner_daily_h56,mean,31.0,1.0,1240690.9065263374,0.39373679090550046,0.9599077812143382,39.0,15.0,81.0,0.0,39.0,0.0,0.0,0.0
17,compound,planner_daily_h14_k48,mean,32.8,1.0,1573946.5124786398,0.5543265138632402,0.9275983676469046,25.8,2.8,19.4,0.0,25.8,74.8,0.0,0.0
18,single,rl_only,,0.0,True,323141.062,0.0,1.0,,,,,,,,
18,single,crl,,0.0,True,310369.28,0.0,1.0,,,,,,,,
18,single,planner_weekly_h14,mean,0.0,1.0,353253.97989165876,0.0,1.0,0.0,0.0,104.0,0.0,0.0,16.0,0.0,0.0
18,single,planner_daily_h14,mean,0.0,1.0,353253.97989165876,0.0,1.0,0.0,0.0,10.0,0.0,0.0,110.0,0.0,0.0
18,single,planner_daily_no_expedite,mean,0.0,1.0,353253.97989165876,0.0,1.0,0.0,0.0,10.0,0.0,0.0,110.0,0.0,0.0
18,single,planner_daily_expedite_7d,mean,0.0,1.0,353253.97989165876,0.0,1.0,0.0,0.0,10.0,0.0,0.0,110.0,0.0,0.0
18,single,planner_daily_h28,mean,0.0,1.0,288014.11861538375,0.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
18,single,planner_daily_h56,mean,0.0,1.0,359137.2543963365,0.0,1.0,2.4,0.0,117.6,0.0,2.4,0.0,0.0,0.0
18,single,planner_daily_h14_k48,mean,0.0,1.0,353253.97989165876,0.0,1.0,0.0,0.0,10.0,0.0,0.0,110.0,0.0,0.0
19,dual,rl_only,,46.6,True,390843.308,0.0801,0.991,,,,,,,,
19,dual,crl,,0.0,True,407131.49,0.0,1.0,,,,,,,,
19,dual,planner_weekly_h14,mean,0.0,1.0,412000.7454933121,0.0,1.0,3.0,0.0,117.0,0.0,3.0,0.0,0.0,0.0
19,dual,planner_daily_h14,mean,68.4,1.0,462132.3210868247,0.19110734711933333,0.9749146333515857,0.0,0.0,46.4,6.4,0.0,67.2,0.0,0.0
19,dual,planner_daily_no_expedite,mean,68.4,1.0,462132.3210868247,0.19110734711933333,0.9749146333515857,0.0,0.0,46.4,6.4,0.0,67.2,0.0,0.0
19,dual,planner_daily_expedite_7d,mean,68.4,1.0,462132.3210868247,0.19110734711933333,0.9749146333515857,0.0,0.0,46.4,6.4,0.0,67.2,0.0,0.0
19,dual,planner_daily_h28,mean,71.6,1.0,708456.1755072639,0.10334312949128843,0.9861217450775644,4.8,0.0,24.8,8.6,4.8,81.8,0.0,0.0
19,dual,planner_daily_h56,mean,107.4,0.2,853171.623229732,0.1744041923212434,0.9689417079661551,12.6,0.0,98.4,9.0,12.6,0.0,0.0,0.0
19,dual,planner_daily_h14_k48,mean,85.8,1.0,526319.2082657835,0.287998396235875,0.9311043409542361,0.0,0.0,53.0,7.6,0.0,59.4,0.0,0.0
20,compound,rl_only,,90.0,True,689161.238,0.5264,0.8348,,,,,,,,
20,compound,crl,,51.0,True,583417.282,0.7081,0.8645,,,,,,,,
